value,type,time,unit_id,device,season,error
3,pm25,4/19/2017 16:00,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 16:15,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 16:30,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 16:45,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 17:00,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 17:15,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 17:30,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 17:45,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 18:00,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 18:15,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 18:30,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 18:45,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 19:00,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 19:15,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 19:30,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 19:45,SASA_MO1,12396,Pilot,0
2,pm25,4/19/2017 20:00,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 20:15,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 20:30,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 20:45,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 21:00,SASA_MO1,12396,Pilot,0
0,pm25,4/19/2017 21:15,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 21:30,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 21:45,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 22:00,SASA_MO1,12396,Pilot,0
0,pm25,4/19/2017 22:15,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 22:30,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 22:45,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 23:00,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 23:15,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 23:30,SASA_MO1,12396,Pilot,0
1,pm25,4/19/2017 23:45,SASA_MO1,12396,Pilot,0
1,pm25,4/20/2017 0:00,SASA_MO1,12396,Pilot,0
1,pm25,4/20/2017 0:15,SASA_MO1,12396,Pilot,0
1,pm25,4/20/2017 0:30,SASA_MO1,12396,Pilot,0
3,pm25,4/20/2017 0:45,SASA_MO1,12396,Pilot,0
3,pm25,4/20/2017 1:00,SASA_MO1,12396,Pilot,0
5,pm25,4/20/2017 1:15,SASA_MO1,12396,Pilot,0
7,pm25,4/20/2017 1:30,SASA_MO1,12396,Pilot,0
7,pm25,4/20/2017 1:45,SASA_MO1,12396,Pilot,0
8,pm25,4/20/2017 2:00,SASA_MO1,12396,Pilot,0
9,pm25,4/20/2017 2:15,SASA_MO1,12396,Pilot,0
12,pm25,4/20/2017 2:30,SASA_MO1,12396,Pilot,0
12,pm25,4/20/2017 2:45,SASA_MO1,12396,Pilot,0
13,pm25,4/20/2017 3:00,SASA_MO1,12396,Pilot,0
12,pm25,4/20/2017 3:15,SASA_MO1,12396,Pilot,0
13,pm25,4/20/2017 3:30,SASA_MO1,12396,Pilot,0
13,pm25,4/20/2017 3:45,SASA_MO1,12396,Pilot,0
13,pm25,4/20/2017 4:00,SASA_MO1,12396,Pilot,0
